# GKW Schur decomposition quality metrics
# K = 1024, BigFloat precision = 2048 bits
# Generated: 2026-02-20T05:26:20.879
#
metric	value
schur_residual_norm	3.34772124197503408456000404686439670411813343393826087447288703775546151231579179191744903331462070988503180577698398929437855822422750941389421021047478908424571234155810843315056840505952713863847119607600911534191345360447561157565136739448876856892761479868798858614512514091503486799445059377783162195089126797994339461940456620248175815631110359269834509843079079493383588376423391728131583490689524533428960633827310043440942134394685725193957507902092736174797941166981283429726356664255595608448650593749835953715913123474874489974656669962835465673895626219685117792624651964465272522449631936096912609154615e-614
orthogonality_defect	4.41205142858975776511840222606192067118015050391136396369306110824123824981202231701415795923961231803533065917944660945380282613349962544368609667065099466201733702542403348318695746711180470520405648765665977698527573350104043825898650595784870403483064843977685039423014229563763556936464917092273846588993673632082770478848502348895332962020025624296744577341423330805445122659026352239119448872722112328631472925844846647628966708644594856916658079964978679809572098874648160820011931370070091379783564064684468220188323685806101944343372694200176536230267476157151478985934160791419935568662182138108535069277312e-614
total_E_bound	5.715071e-317
eps_K	3.2283113854217297e-180
A_K_norm	1.0975592327426908
